User Input,Polarity,Extracted Concern,Category,Intensity
The weekend parties next door leave me unable to sleep.,Negative,unable to sleep,Insomnia,1
Thinking about work means I can't sleep well on Sundays.,Negative,can't sleep well,Insomnia,2
My wisdom teeth removal has me unable to eat solids.,Negative,unable to eat,Eating Disorder,1
I am feeling sad,Negative,feeling sad,Anxiety,4
The project deadline has me very stressed about time.,Negative,very stressed,Stress,4
I'm a little stressed about the upcoming team dinner.,Negative,little stressed,Stress,2
This win has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
My life is shrouded in sadness,Negative,sadness,Anxiety,4
I'm a little stressed about starting at the new gym.,Negative,little stressed,Stress,2
The summer heat makes me unable to sleep comfortably.,Negative,unable to sleep,Insomnia,1
This medical diagnosis has me extremely stressed and worried.,Negative,extremely stressed,Stress,4
I'm unbearably sad today,Negative,sad,Anxiety,4
This loneliness stays with me,Negative,loneliness,Anxiety,3
I'm completely sad now,Negative,sad,Anxiety,4
This soup has me feeling little better.,Positive,feeling little better,Positive Outlook,3
Recent dizzy spells have me distressed over health stability.,Negative,distressed over health,Health Anxiety,4
My dead battery has me feeling depressed.,Negative,feeling depressed,Depression,4
After surgical recovery I'm worried about health progress.,Negative,worried about health,Health Anxiety,3
Happiness flows through me today,Positive,happiness,Positive Outlook,3
Reading made me feeling little better.,Positive,feeling little better,Positive Outlook,3
The performance metrics have me very stressed now.,Negative,very stressed,Stress,4
My recovery has me feeling much better.,Positive,feeling much better,Positive Outlook,3
My new medication is making me unable to sleep at night.,Negative,unable to sleep,Insomnia,1
My day is clouded with sadness,Negative,sadness,Anxiety,4
I'm inconsolably sad today,Negative,sad,Anxiety,4
The missed alarm has me feeling very low.,Negative,feeling very low,Depression,2
The ongoing symptoms have me distressed over health stability.,Negative,distressed over health,Health Anxiety,4
The team loss has me feeling very low.,Negative,feeling very low,Depression,2
Feeling happy and peaceful,Positive,feeling happy,Positive Outlook,3
The medication has me feeling much better.,Positive,feeling much better,Positive Outlook,3
My midnight hunger makes me unable to sleep peacefully.,Negative,unable to sleep,Insomnia,1
The medical history has me distressed over health patterns.,Negative,distressed over health,Health Anxiety,4
My debt situation has me extremely stressed.,Negative,extremely stressed,Stress,4
Art has me feeling little better.,Positive,feeling little better,Positive Outlook,3
My soul is drowning in sadness,Negative,sadness,Anxiety,4
These health changes have me distressed over health stability.,Negative,distressed over health,Health Anxiety,3
My anxiety makes me unable to eat when nervous.,Negative,unable to eat,Eating Disorder,1
The long wait has me feeling very low.,Negative,feeling very low,Depression,2
My portfolio feedback has me feeling depressed.,Negative,feeling depressed,Depression,4
My world is full of happiness,Positive,happiness,Positive Outlook,3
The minor quiz has me a little stressed but prepared.,Negative,little stressed,Stress,2
Dancing has me feeling little better.,Positive,feeling little better,Positive Outlook,3
The surgery date has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
Nature has me feeling little better.,Positive,feeling little better,Positive Outlook,3
The stomach bug makes me unable to eat anything.,Negative,unable to eat,Eating Disorder,1
My new medication is making it so I can't sleep well anymore.,Negative,can't sleep well,Insomnia,2
The cat running around means I have trouble sleeping sometimes.,Negative,have trouble sleeping,Insomnia,4
My day is clouded with sadness,Negative,sadness,Anxiety,4
This grade has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
The new treatment has me feeling much better.,Positive,feeling much better,Positive Outlook,3
The wedding planning has me extremely stressed and overwhelmed.,Negative,extremely stressed,Stress,4
I am feeling sad,Negative,feeling sad,Anxiety,4
The sunshine has me feeling much better.,Positive,feeling much better,Positive Outlook,3
My life is shrouded in sadness,Negative,sadness,Anxiety,4
