User Input,Polarity,Extracted Concern,Category,Intensity
I toss and turn every night because I can't sleep well and feel exhausted the next day.,Negative,can't sleep well,Insomnia,2
My mind races constantly and I have trouble sleeping even when I'm tired.,Negative,have trouble sleeping,Insomnia,2
Night after night I'm unable to sleep despite trying everything.,Negative,unable to sleep,Insomnia,2
These past few weeks I can't sleep well no matter what remedies I try.,Negative,can't sleep well,Insomnia,2
Every evening I have trouble sleeping and it's affecting my work performance.,Negative,have trouble sleeping,Insomnia,2
I've been taking melatonin but still can't sleep well at all.,Negative,can't sleep well,Insomnia,2
My anxiety peaks at night and I'm unable to sleep properly.,Negative,unable to sleep,Insomnia,2
For the third week now I have trouble sleeping through the entire night.,Negative,have trouble sleeping,Insomnia,2
Despite being exhausted I can't sleep well and it's frustrating.,Negative,can't sleep well,Insomnia,2
The stress from work means I'm unable to sleep most nights.,Negative,unable to sleep,Insomnia,2
I've tried everything but I have trouble sleeping consistently.,Negative,have trouble sleeping,Insomnia,2
My new medication is making it so I can't sleep well anymore.,Negative,can't sleep well,Insomnia,2
Since moving to the city I'm unable to sleep due to the noise.,Negative,unable to sleep,Insomnia,2
The past month I have trouble sleeping and feel completely drained.,Negative,have trouble sleeping,Insomnia,2
My irregular schedule means I can't sleep well during normal hours.,Negative,can't sleep well,Insomnia,2
Every single night I'm unable to sleep until early morning.,Negative,unable to sleep,Insomnia,2
Coffee doesn't even affect me anymore but I have trouble sleeping anyway.,Negative,have trouble sleeping,Insomnia,2
The neighbors are so loud that I can't sleep well most nights.,Negative,can't sleep well,Insomnia,2
My racing thoughts mean I'm unable to sleep without medication.,Negative,unable to sleep,Insomnia,2
Ever since the accident I have trouble sleeping through the night.,Negative,have trouble sleeping,Insomnia,2
The summer heat means I can't sleep well even with the fan on.,Negative,can't sleep well,Insomnia,2
Working night shifts has left me unable to sleep during the day.,Negative,unable to sleep,Insomnia,2
This new pillow isn't helping - I have trouble sleeping more than ever.,Negative,have trouble sleeping,Insomnia,2
My partner snores so loudly that I can't sleep well anymore.,Negative,can't sleep well,Insomnia,2
The stress of deadlines means I'm unable to sleep properly.,Negative,unable to sleep,Insomnia,2
Since becoming a parent I have trouble sleeping even when the baby does.,Negative,have trouble sleeping,Insomnia,2
The new streetlight outside means I can't sleep well without blackout curtains.,Negative,can't sleep well,Insomnia,2
My chronic pain means I'm unable to sleep through the night.,Negative,unable to sleep,Insomnia,2
The caffeine from my evening tea means I have trouble sleeping.,Negative,have trouble sleeping,Insomnia,2
This mattress is so uncomfortable that I can't sleep well on it.,Negative,can't sleep well,Insomnia,2
The upcoming presentation has me unable to sleep from anxiety.,Negative,unable to sleep,Insomnia,2
Since starting this diet I have trouble sleeping through the night.,Negative,have trouble sleeping,Insomnia,2
The constant worry about bills means I can't sleep well lately.,Negative,can't sleep well,Insomnia,2
My new apartment is too quiet and I'm unable to sleep here.,Negative,unable to sleep,Insomnia,2
The jet lag means I have trouble sleeping at normal hours now.,Negative,have trouble sleeping,Insomnia,2
These nightmares mean I can't sleep well without fear.,Negative,can't sleep well,Insomnia,2
The full moon makes me unable to sleep most nights.,Negative,unable to sleep,Insomnia,2
My new exercise routine means I have trouble sleeping from muscle aches.,Negative,have trouble sleeping,Insomnia,2
